#sample	 RC_RC_1
#d(mm)	 17.0
#D(mm)	 321.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 2
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 2 
#notes	 RkOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 33.5469999313
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
1.5885e+05	9.9656e+05	-8.9800e+01	2.3852e-02	8.3338e-05
1.6486e+05	9.5995e+05	-8.9882e+01	2.3859e-02	4.9227e-05
1.7110e+05	9.2596e+05	-8.9964e+01	2.3832e-02	1.4896e-05
1.7758e+05	8.9302e+05	-8.9853e+01	2.3810e-02	6.1063e-05
1.8431e+05	8.5906e+05	-8.9878e+01	2.3848e-02	5.0720e-05
1.9128e+05	8.2850e+05	-8.9959e+01	2.3826e-02	1.7094e-05
1.9853e+05	7.9947e+05	-8.9817e+01	2.3790e-02	7.5779e-05
2.0604e+05	7.7024e+05	-8.9886e+01	2.3792e-02	4.7509e-05
2.1384e+05	7.4331e+05	-8.9817e+01	2.3755e-02	7.5903e-05
2.2194e+05	7.1560e+05	-8.9886e+01	2.3775e-02	4.7313e-05
2.3034e+05	6.8777e+05	-8.9925e+01	2.3834e-02	3.1296e-05
2.3906e+05	6.6359e+05	-8.9824e+01	2.3802e-02	7.3254e-05
2.4811e+05	6.4026e+05	-8.9818e+01	2.3769e-02	7.5527e-05
2.5751e+05	6.1605e+05	-8.9830e+01	2.3802e-02	7.0809e-05
2.6726e+05	5.9352e+05	-8.9889e+01	2.3804e-02	4.6135e-05
2.7737e+05	5.7214e+05	-8.9967e+01	2.3793e-02	1.3563e-05
2.8788e+05	5.5132e+05	-8.9918e+01	2.3791e-02	3.3989e-05
2.9877e+05	5.3063e+05	-9.0083e+01	2.3817e-02	-3.4553e-05
3.1009e+05	5.1123e+05	-8.9956e+01	2.3819e-02	1.8497e-05
3.2183e+05	4.9228e+05	-8.9894e+01	2.3834e-02	4.4034e-05
3.3401e+05	4.7551e+05	-8.9918e+01	2.3774e-02	3.3857e-05
3.4666e+05	4.5789e+05	-8.9811e+01	2.3788e-02	7.8286e-05
3.5978e+05	4.4199e+05	-8.9863e+01	2.3745e-02	5.6603e-05
3.7340e+05	4.2484e+05	-8.9819e+01	2.3802e-02	7.5157e-05
3.8754e+05	4.0967e+05	-8.9922e+01	2.3783e-02	3.2407e-05
4.0221e+05	3.9518e+05	-8.9921e+01	2.3756e-02	3.2937e-05
4.1744e+05	3.8053e+05	-8.9972e+01	2.3770e-02	1.1689e-05
4.3324e+05	3.6686e+05	-8.9895e+01	2.3757e-02	4.3504e-05
4.4964e+05	3.5311e+05	-8.9877e+01	2.3782e-02	5.1121e-05
4.6667e+05	3.4041e+05	-8.9942e+01	2.3769e-02	2.3861e-05
4.8433e+05	3.2811e+05	-8.9869e+01	2.3760e-02	5.4181e-05
5.0267e+05	3.1609e+05	-8.9869e+01	2.3764e-02	5.4484e-05
5.2170e+05	3.0449e+05	-8.9975e+01	2.3770e-02	1.0543e-05
5.4145e+05	2.9384e+05	-8.9822e+01	2.3733e-02	7.3719e-05
5.6195e+05	2.8250e+05	-8.9918e+01	2.3785e-02	3.3920e-05
5.8323e+05	2.7272e+05	-8.9777e+01	2.3739e-02	9.2453e-05
6.0531e+05	2.6281e+05	-8.9875e+01	2.3736e-02	5.1960e-05
6.2823e+05	2.5293e+05	-8.9907e+01	2.3763e-02	3.8474e-05
6.5201e+05	2.4392e+05	-8.9892e+01	2.3742e-02	4.4921e-05
6.7670e+05	2.3513e+05	-8.9920e+01	2.3731e-02	3.3218e-05
7.0232e+05	2.2640e+05	-8.9835e+01	2.3747e-02	6.8237e-05
7.2891e+05	2.1790e+05	-8.9896e+01	2.3773e-02	4.2953e-05
7.5650e+05	2.0999e+05	-8.9857e+01	2.3769e-02	5.9161e-05
7.8514e+05	2.0247e+05	-8.9862e+01	2.3753e-02	5.7336e-05
8.1487e+05	1.9502e+05	-8.9880e+01	2.3760e-02	4.9565e-05
8.4572e+05	1.8806e+05	-8.9869e+01	2.3741e-02	5.4252e-05
8.7774e+05	1.8122e+05	-8.9893e+01	2.3738e-02	4.4301e-05
9.1097e+05	1.7456e+05	-8.9918e+01	2.3744e-02	3.4074e-05
9.4546e+05	1.6828e+05	-8.9923e+01	2.3733e-02	3.1906e-05
9.8125e+05	1.6213e+05	-8.9874e+01	2.3734e-02	5.1998e-05
1.0184e+06	1.5623e+05	-8.9873e+01	2.3732e-02	5.2526e-05
1.0570e+06	1.5048e+05	-8.9876e+01	2.3741e-02	5.1484e-05
1.0970e+06	1.4509e+05	-8.9912e+01	2.3725e-02	3.6440e-05
1.1385e+06	1.3973e+05	-8.9910e+01	2.3736e-02	3.7090e-05
1.1816e+06	1.3451e+05	-8.9937e+01	2.3757e-02	2.6108e-05
1.2263e+06	1.2968e+05	-8.9922e+01	2.3742e-02	3.2294e-05
1.2728e+06	1.2493e+05	-8.9945e+01	2.3747e-02	2.2682e-05
1.3210e+06	1.2044e+05	-8.9851e+01	2.3733e-02	6.1562e-05
1.3710e+06	1.1589e+05	-8.9854e+01	2.3766e-02	6.0442e-05
1.4229e+06	1.1170e+05	-8.9926e+01	2.3758e-02	3.0797e-05
1.4767e+06	1.0767e+05	-8.9866e+01	2.3747e-02	5.5669e-05
1.5327e+06	1.0376e+05	-8.9890e+01	2.3743e-02	4.5750e-05
1.5907e+06	9.9950e+04	-8.9893e+01	2.3749e-02	4.4179e-05
1.6509e+06	9.6358e+04	-8.9846e+01	2.3736e-02	6.3672e-05
1.7134e+06	9.2867e+04	-8.9857e+01	2.3730e-02	5.9070e-05
1.7783e+06	8.9518e+04	-8.9850e+01	2.3720e-02	6.2023e-05
1.8456e+06	8.6190e+04	-8.9902e+01	2.3737e-02	4.0553e-05
1.9155e+06	8.3036e+04	-8.9901e+01	2.3740e-02	4.1016e-05
1.9880e+06	8.0061e+04	-8.9885e+01	2.3724e-02	4.7707e-05
2.0633e+06	7.7114e+04	-8.9921e+01	2.3732e-02	3.2830e-05
2.1414e+06	7.4301e+04	-8.9878e+01	2.3732e-02	5.0672e-05
2.2224e+06	7.1626e+04	-8.9941e+01	2.3720e-02	2.4617e-05
2.3066e+06	6.9022e+04	-8.9858e+01	2.3717e-02	5.8953e-05
2.3939e+06	6.6507e+04	-8.9890e+01	2.3716e-02	4.5453e-05
2.4845e+06	6.4074e+04	-8.9904e+01	2.3719e-02	3.9716e-05
2.5786e+06	6.1685e+04	-8.9835e+01	2.3738e-02	6.8381e-05
2.6762e+06	5.9475e+04	-8.9884e+01	2.3723e-02	4.8053e-05
2.7776e+06	5.7305e+04	-8.9923e+01	2.3723e-02	3.1939e-05
2.8827e+06	5.5224e+04	-8.9878e+01	2.3719e-02	5.0641e-05
2.9919e+06	5.3218e+04	-8.9877e+01	2.3715e-02	5.1040e-05
3.1051e+06	5.1296e+04	-8.9928e+01	2.3706e-02	2.9786e-05
3.2227e+06	4.9424e+04	-8.9876e+01	2.3706e-02	5.1499e-05
3.3447e+06	4.7622e+04	-8.9905e+01	2.3706e-02	3.9414e-05
3.4713e+06	4.5869e+04	-8.9908e+01	2.3714e-02	3.8146e-05
3.6028e+06	4.4212e+04	-8.9877e+01	2.3705e-02	5.0969e-05
3.7392e+06	4.2602e+04	-8.9888e+01	2.3704e-02	4.6168e-05
3.8807e+06	4.1056e+04	-8.9913e+01	2.3699e-02	3.6089e-05
4.0276e+06	3.9550e+04	-8.9897e+01	2.3704e-02	4.2678e-05
4.1801e+06	3.8117e+04	-8.9912e+01	2.3698e-02	3.6400e-05
4.3384e+06	3.6716e+04	-8.9907e+01	2.3705e-02	3.8446e-05
4.5026e+06	3.5380e+04	-8.9917e+01	2.3703e-02	3.4314e-05
